zomato,Food
zomato india,Food
zomat0,Food
z0mato,Food
zonate,Food
swiggy,Food
swigyy,Food
swigy,Food
ubereats,Food
uber eats,Food
uber,Travel
vber,Travel
vber ride,Travel
ola,Travel
indrive,Travel
in-drive,Travel
rapido,Travel
ola cab,Travel
taxi,Travel
cab,Travel
auto rickshaw,Travel
auto,Travel
uber cab,Travel
ola auto,Travel
bookmyshow,Entertainment
bms,Entertainment
cinema,Entertainment
movie,Entertainment
movies,Entertainment
netflix,Entertainment
prime video,Entertainment
primevideo,Entertainment
hotstar,Entertainment
disney plus,Entertainment
disney+,Entertainment
spotify,Entertainment
gaana,Entertainment
saavn,Entertainment
youtube,Entertainment
ticket,Entertainment
uber eats delivery,Food
dominos,Food
pizza hut,Food
kfc,Food
mcdonald,mFood
mcdonalds,Food
mcd,Food
subway,Food
starbucks,Food
cafe,Food
coffee,Food
chai point,Food
chaipoint,Food
barista,Food
bakery,Food
baker,Food
sweet shop,Food
grocery,Grocery
bigbasket,Grocery
big basket,Grocery
amzn,Shopping
amazon,Shopping
amaz0n,Shopping
flipkart,Shopping
flipkart seller,Shopping
flipkart marketplace,Shopping
myntra,Shopping
ajio,Shopping
meesho,Shopping
nykaa,Shopping
tatacliq,Shopping
croma,Electronics
lenskart,Shopping
decathlon,Shopping
sports gear,Shopping
shoe store,Shopping
clothing,Shopping
fashion,Shopping
mall,Shopping
store,Shopping
store purchase,Shopping
petrol, Fuel
petrol pump,Fuel
petrol pump hpcl,Fuel
hpcl,Fuel
bpcl,Fuel
indianoil,Fuel
diesel,Fuel
shell,Fuel
fuel station,Fuel
gas station,Fuel
parking,Transport
parking fee,Transport
toll,Tolls
toll plaza,Tolls
parking charges,Transport
parking lot,Transport
train,Travel
irctc,Travel
bus,Travel
metro,Travel
flight,Travel
airline,Travel
airport,Travel
hotels,Travel
hotel stay,Travel
motel,Travel
resort,Travel
booking.com,Travel
makemytrip,Travel
goibibo,Travel
agoda,Travel
oyo,Travel
yatra,Travel
uber partner,Travel
ola outstation,Travel
ride,Travel
taxi fare,Travel
cab booking,Travel
cab fare,Travel
fuel station, Fuel
electricity,Bills
bescom,Bills
electric bill,Bills
water bill,Bills
water,Bills
gas bill,Bills
lpg,Bills
phone bill,Bills
postpaid,Bills
prepaid,Bills
mobile recharge,Bills
recharge,Bills
broadband,Bills
jiofiber,Bills
airtel fiber,Bills
dish tv,Bills
netconnect,Bills
insurance,Insurance
sbi general ins,Insurance
icici lombard,Insurance
lic,Insurance
health insurance,Insurance
car insurance,Insurance
bike insurance,Insurance
loan,Loans
emi,Loans
home loan,Loans
personal loan,Loans
bank transfer,Bank
neft,Bank
rtgs,Bank
imps,Bank
upi,Uncategorized
upi transfer,Uncategorized
upi db,Uncategorized
upi payment,Uncategorized
payment,Uncategorized
transfer,Uncategorized
settlement,Uncategorized
refund,Uncategorized
refund credit,Uncategorized
salary,Credit
salary credit,Credit
credit,Credit
debit,Debit
atm withdrawal,Cash
atm,Cash
cash withdrawal,Cash
bank charges,Bank
processing fee,Bank
convenience fee,Bank
gateway charges,Bank
merchant charges,Bank
gst,Tax
tax,Tax
tds,Tax
income tax,Tax
